target_type,target_identifier,scholar_slug,original_term,normalized_term,explanation,display_score,reference_book,edition,volume,page,source_url,verified
narrator,ibn-shihab-al-zuhri,ibn-hajar,"الفقيه الحافظ متفق على جلالته وإتقانه",thiqah_thabt,"Master hadith authority whose precision and comprehensive memory are accepted by consensus.",99,"Taqrib al-Tahdhib","Dar al-Rashid",1,506,"https://shamela.ws/book/8609/506",true
narrator,ibn-shihab-al-zuhri,al-dhahabi,"الإمام الحافظ حجة العصر",imam_hujjah,"Leading Imam and authoritative proof in hadith transmission.",99,"Siyar A'lam al-Nubala","Mu'assasat al-Risalah",5,326,"https://shamela.ws/book/10906/1860",true
narrator,al-layth-ibn-sad,ibn-hajar,"ثقة ثبت فقيه إمام مشهور",thiqah_thabt,"Eminent trustworthy jurist, leading Imam, and scholar of Egypt.",98,"Tahdhib al-Tahdhib","Da'irat al-Ma'arif",8,459,"https://shamela.ws/book/3484/459",true
narrator,al-layth-ibn-sad,yahya-ibn-main,"ثقة صحيح الحديث",thiqah,"Confirmed as trustworthy with rigorously authentic narrations.",98,"Tarikh Ibn Ma'in","Markaz al-Buhuth",3,512,"",true
narrator,uqayl-ibn-khalid,ibn-hajar,"ثقة ثبت",thiqah_thabt,"Trustworthy and solid transmitter of al-Zuhri's hadiths.",93,"Taqrib al-Tahdhib","Dar al-Rashid",1,398,"https://shamela.ws/book/8609/398",true
narrator,yahya-ibn-bukayr,ibn-hajar,"ثقة في الليث خاصة",thiqah,"Trustworthy especially in narrations transmitted through al-Layth.",90,"Taqrib al-Tahdhib","Dar al-Rashid",1,588,"https://shamela.ws/book/8609/588",true
narrator,yunus-ibn-yazid,ibn-hajar,"ثقة في الزهري",thiqah,"Trustworthy transmitter relied upon in Sahih Muslim.",91,"Taqrib al-Tahdhib","Dar al-Rashid",1,614,"https://shamela.ws/book/8609/614",true
narrator,abdullah-ibn-wahb,ahmad-ibn-hanbal,"صحيح الحديث فقيه عالم",thiqah_faqih,"Authentic in hadith, master jurist, and leading Egyptian scholar.",96,"al-Jarh wa al-Ta'dil","Dar Ihya al-Turath",5,189,"",true
narrator,zurarah-ibn-ayan,al-khoei,"فوق الوثاقة جليل القدر ومن أصحاب الإجماع",thiqah_jalil,"Foremost companion of the Imams and central to the Ashab al-Ijma.",98,"Mu'jam Rijal al-Hadith","5th Edition",8,225,"http://shiaonlinelibrary.com",true
narrator,zurarah-ibn-ayan,al-najashi,"شيخ أصحابنا في زمانه ومتقدمهم صادقا فيما يرويه",thiqah_ayn,"Eminent scholar and truthful transmitter of prophetic and Imami traditions.",98,"Rijal al-Najashi","Mu'assasat al-Nashr al-Islami",1,175,"",true
narrator,muhammad-ibn-abi-umayr,al-khoei,"أجمعت العصابة على تصحيح ما يصح عنه وأقروا له بالفقه",thiqah_ijma,"Consensus among scholars on the authenticity of his transmissions.",99,"Mu'jam Rijal al-Hadith","5th Edition",15,287,"",true
narrator,muhammad-ibn-abi-umayr,al-tusi,"كان أوثق الناس عند الخاصة والعامة وأنبلهم مقاما",thiqah_awthaq,"Among the most trustworthy transmitters across traditions.",99,"Fihrist al-Tusi","Maktabat al-Murtadawiyyah",1,218,"",true
narrator,ibrahim-ibn-hashim,al-khoei,"لا ينبغي الشك في وثاقته لكثرة رواياته وجلالته",thiqah,"Highly established transmitter foundational to the school of Qom.",95,"Mu'jam Rijal al-Hadith","5th Edition",1,289,"",true
narrator,ali-ibn-ibrahim,al-najashi,"ثقة في الحديث ثبت معتمد",thiqah_thabt,"Trustworthy authority and author of primary classical works.",97,"Rijal al-Najashi","Mu'assasat al-Nashr al-Islami",1,260,"",true
narrator,abd-al-aziz-ibn-abi-hazim,yahya-ibn-main,ثقة,thiqah,Illustrative row requiring an exact citation,95,,,,,,false
